item_id,version_no,sort_order,category_key,validity_start,validity_end
W45000381,1,,Geog/BuiltUp,01/01/1990,
W45000283,1,,Geog/BuiltUp,01/01/1990,
W45000482,1,,Geog/BuiltUp,01/01/1990,
W45000329,1,,Geog/BuiltUp,01/01/1990,
W45000236,1,,Geog/BuiltUp,01/01/1990,
W45000382,1,,Geog/BuiltUp,01/01/1990,
W45000284,1,,Geog/BuiltUp,01/01/1990,
W45000285,1,,Geog/BuiltUp,01/01/1990,
W45000286,1,,Geog/BuiltUp,01/01/1990,
W45000287,1,,Geog/BuiltUp,01/01/1990,
W45000288,1,,Geog/BuiltUp,01/01/1990,
W45000289,1,,Geog/BuiltUp,01/01/1990,
W45000290,1,,Geog/BuiltUp,01/01/1990,
W45000291,1,,Geog/BuiltUp,01/01/1990,
W45000292,1,,Geog/BuiltUp,01/01/1990,
W45000293,1,,Geog/BuiltUp,01/01/1990,
W45000294,1,,Geog/BuiltUp,01/01/1990,
W45000295,1,,Geog/BuiltUp,01/01/1990,
W45000296,1,,Geog/BuiltUp,01/01/1990,
W45000297,1,,Geog/BuiltUp,01/01/1990,
W45000298,1,,Geog/BuiltUp,01/01/1990,
W45000299,1,,Geog/BuiltUp,01/01/1990,
W45000383,1,,Geog/BuiltUp,01/01/1990,
W45000384,1,,Geog/BuiltUp,01/01/1990,
W45000385,1,,Geog/BuiltUp,01/01/1990,
W45000386,1,,Geog/BuiltUp,01/01/1990,
W45000387,1,,Geog/BuiltUp,01/01/1990,
W45000388,1,,Geog/BuiltUp,01/01/1990,
W45000389,1,,Geog/BuiltUp,01/01/1990,
W45000390,1,,Geog/BuiltUp,01/01/1990,
W45000391,1,,Geog/BuiltUp,01/01/1990,
W45000392,1,,Geog/BuiltUp,01/01/1990,
W45000393,1,,Geog/BuiltUp,01/01/1990,
W45000394,1,,Geog/BuiltUp,01/01/1990,
W45000395,1,,Geog/BuiltUp,01/01/1990,
W45000396,1,,Geog/BuiltUp,01/01/1990,
W45000397,1,,Geog/BuiltUp,01/01/1990,
W45000398,1,,Geog/BuiltUp,01/01/1990,
W45000399,1,,Geog/BuiltUp,01/01/1990,
W45000483,1,,Geog/BuiltUp,01/01/1990,
W45000330,1,,Geog/BuiltUp,01/01/1990,
W45000484,1,,Geog/BuiltUp,01/01/1990,
W45000331,1,,Geog/BuiltUp,01/01/1990,
W45000485,1,,Geog/BuiltUp,01/01/1990,
W45000332,1,,Geog/BuiltUp,01/01/1990,
W45000237,1,,Geog/BuiltUp,01/01/1990,
W45000486,1,,Geog/BuiltUp,01/01/1990,
W45000333,1,,Geog/BuiltUp,01/01/1990,
W45000238,1,,Geog/BuiltUp,01/01/1990,
W45000487,1,,Geog/BuiltUp,01/01/1990,
W45000334,1,,Geog/BuiltUp,01/01/1990,
W45000239,1,,Geog/BuiltUp,01/01/1990,
W45000488,1,,Geog/BuiltUp,01/01/1990,
W45000335,1,,Geog/BuiltUp,01/01/1990,
W45000240,1,,Geog/BuiltUp,01/01/1990,
W45000489,1,,Geog/BuiltUp,01/01/1990,
W45000336,1,,Geog/BuiltUp,01/01/1990,
W45000241,1,,Geog/BuiltUp,01/01/1990,
W45000490,1,,Geog/BuiltUp,01/01/1990,
W45000337,1,,Geog/BuiltUp,01/01/1990,
W45000242,1,,Geog/BuiltUp,01/01/1990,
W45000491,1,,Geog/BuiltUp,01/01/1990,
W45000338,1,,Geog/BuiltUp,01/01/1990,
W45000243,1,,Geog/BuiltUp,01/01/1990,
W45000492,1,,Geog/BuiltUp,01/01/1990,
W45000339,1,,Geog/BuiltUp,01/01/1990,
W45000244,1,,Geog/BuiltUp,01/01/1990,
W45000493,1,,Geog/BuiltUp,01/01/1990,
W45000340,1,,Geog/BuiltUp,01/01/1990,
W45000245,1,,Geog/BuiltUp,01/01/1990,
W45000494,1,,Geog/BuiltUp,01/01/1990,
W45000341,1,,Geog/BuiltUp,01/01/1990,
W45000246,1,,Geog/BuiltUp,01/01/1990,
W45000495,1,,Geog/BuiltUp,01/01/1990,
W45000342,1,,Geog/BuiltUp,01/01/1990,
W45000247,1,,Geog/BuiltUp,01/01/1990,
W45000496,1,,Geog/BuiltUp,01/01/1990,
W45000343,1,,Geog/BuiltUp,01/01/1990,
W45000248,1,,Geog/BuiltUp,01/01/1990,
W45000497,1,,Geog/BuiltUp,01/01/1990,
W45000344,1,,Geog/BuiltUp,01/01/1990,
W45000249,1,,Geog/BuiltUp,01/01/1990,
W45000498,1,,Geog/BuiltUp,01/01/1990,
W45000345,1,,Geog/BuiltUp,01/01/1990,
W45000499,1,,Geog/BuiltUp,01/01/1990,
W45000346,1,,Geog/BuiltUp,01/01/1990,
W45000347,1,,Geog/BuiltUp,01/01/1990,
W45000348,1,,Geog/BuiltUp,01/01/1990,
W45000349,1,,Geog/BuiltUp,01/01/1990,
W45000500,1,,Geog/BuiltUp,01/01/1990,
W45000501,1,,Geog/BuiltUp,01/01/1990,
W45000502,1,,Geog/BuiltUp,01/01/1990,
W45000503,1,,Geog/BuiltUp,01/01/1990,
W45000504,1,,Geog/BuiltUp,01/01/1990,
W45000505,1,,Geog/BuiltUp,01/01/1990,
W45000506,1,,Geog/BuiltUp,01/01/1990,
W45000507,1,,Geog/BuiltUp,01/01/1990,
W45000508,1,,Geog/BuiltUp,01/01/1990,
W45000509,1,,Geog/BuiltUp,01/01/1990,
W45000510,1,,Geog/BuiltUp,01/01/1990,
W45000511,1,,Geog/BuiltUp,01/01/1990,
W45000512,1,,Geog/BuiltUp,01/01/1990,
W45000513,1,,Geog/BuiltUp,01/01/1990,
W45000514,1,,Geog/BuiltUp,01/01/1990,
W45000515,1,,Geog/BuiltUp,01/01/1990,
W45000516,1,,Geog/BuiltUp,01/01/1990,
W45000517,1,,Geog/BuiltUp,01/01/1990,
W45000518,1,,Geog/BuiltUp,01/01/1990,
W45000519,1,,Geog/BuiltUp,01/01/1990,
W45000520,1,,Geog/BuiltUp,01/01/1990,
W45000521,1,,Geog/BuiltUp,01/01/1990,
W45000522,1,,Geog/BuiltUp,01/01/1990,
W45000523,1,,Geog/BuiltUp,01/01/1990,
W45000524,1,,Geog/BuiltUp,01/01/1990,
W45000525,1,,Geog/BuiltUp,01/01/1990,
W45000526,1,,Geog/BuiltUp,01/01/1990,
W45000527,1,,Geog/BuiltUp,01/01/1990,
W45000528,1,,Geog/BuiltUp,01/01/1990,
W45000529,1,,Geog/BuiltUp,01/01/1990,
W45000530,1,,Geog/BuiltUp,01/01/1990,
W45000531,1,,Geog/BuiltUp,01/01/1990,
W45000532,1,,Geog/BuiltUp,01/01/1990,
W45000533,1,,Geog/BuiltUp,01/01/1990,
W45000534,1,,Geog/BuiltUp,01/01/1990,
W45000535,1,,Geog/BuiltUp,01/01/1990,
W45000536,1,,Geog/BuiltUp,01/01/1990,
W45000537,1,,Geog/BuiltUp,01/01/1990,
W45000538,1,,Geog/BuiltUp,01/01/1990,
W45000539,1,,Geog/BuiltUp,01/01/1990,
W45000540,1,,Geog/BuiltUp,01/01/1990,
W45000541,1,,Geog/BuiltUp,01/01/1990,
W45000542,1,,Geog/BuiltUp,01/01/1990,
W45000543,1,,Geog/BuiltUp,01/01/1990,
W45000544,1,,Geog/BuiltUp,01/01/1990,
W45000545,1,,Geog/BuiltUp,01/01/1990,
W45000546,1,,Geog/BuiltUp,01/01/1990,
W45000547,1,,Geog/BuiltUp,01/01/1990,
W45000548,1,,Geog/BuiltUp,01/01/1990,
W45000549,1,,Geog/BuiltUp,01/01/1990,
W45000550,1,,Geog/BuiltUp,01/01/1990,
W45000551,1,,Geog/BuiltUp,01/01/1990,
W45000552,1,,Geog/BuiltUp,01/01/1990,
W45000553,1,,Geog/BuiltUp,01/01/1990,
W45000554,1,,Geog/BuiltUp,01/01/1990,
W45000555,1,,Geog/BuiltUp,01/01/1990,
